,gs publications,scival publications,GS ONLY publications,SCIVAL ONLY publications,shared publications
0,Coexpression analysis of human genes across many microarray data sets,Open science in play and in tension with patent protections,analysis of gene networks in schizophrenia and the challenge of multifunctionality,coexpresion analysis of human genes across many microarray data sets,whole genome sequencing and variant discovery in the aspire autism spectrum disorder cohort
1,Molecular and functional heterogeneity of hyperpolarization-activated pacemaker channels in the mouse CNS,The Canadian Open Neuroscience Platform-An open science framework for the neuroscience community,a critical assessment of single cell transcriptomes sampled following patch clamp electrophysiology,the impact of multifunctional genes on guilt by association analysis,altered hippocampal transcript profile accompanies an age related spatial memory deficit in mice
2,Altered brain microRNA biogenesis contributes to phenotypic deficits in a 22q11-deletion mouse model,Characterizing the targets of transcription regulators by aggregating ChIP-seq and perturbation expression data sets,ps73 changes in neuronal densities underlying transcriptional alterations in psychiatric patients,promoter region based classification of genes,untangling the effects of cellular composition on coexpression analysis
3,Zac1 regulates an imprinted gene network critically involved in the control of embryonic growth,In silico discovery of small molecules for efficient stem cell differentiation into definitive endoderm,cutting edge stat6 serves as a positive and,whose sample is it anyway widespread misannotation of samples in transcriptomics studies version 1 referees 2 approved,learning gene functional classifications from multiple data types
4,Gene functional classification from heterogeneous data,ModelMatcher: A scientist-centric online platform to facilitate collaborations between stakeholders of rare and undiagnosed disease research,analysis of gene expression profiles in schizophrenia using a large combined cohort,corrigendum to cortical functional connectivity decodes subconscious task irrelevant threat related emotion processing neuroimage 61 4 2012 1355 1363 s1053811912003321 10 1016 j neuroimage 2012 03 051,experimental comparison and cross validation of the affymetrix and illumina gene expression analysis platforms
5,Matrix2png: a utility for visualizing matrix data,Evaluation of connectivity map shows limited reproducibility in drug repositioning,coexpression based gene discovery in the post synaptic proteome,transcriptomic responses to high water temperature in two species of pacific salmon,using the gene ontology for microarray data mining a comparison of methods and application to age effects in human prefrontal cortex
6,An expanded evaluation of protein function prediction methods shows an improvement in accuracy,“Guilt by association” is not competitive with genetic association for identifying autism risk genes,basal and apical synapses of ca1 pyramidal cells employ different,gene expression in juvenile arthritis and spondyloarthropathy pro angiogenic elr sup sup chemokine genes relate to course of arthritis,using predictive specificity to determine when gene set analysis is biologically meaningful
7,De novo mutations in schizophrenia implicate chromatin remodeling and support a genetic overlap with autism and intellectual disability,Experiment level curation of transcriptional regulatory interactions in neurodevelopment,drosophila mutations affecting electrical excitability,,network analyses reveal pervasive functional regulation between proteases in the human protease web
8,ErmineJ: tool for functional analysis of gene expression data sets,Estimating and Correcting for Off-Target Cellular Contamination in Brain Cell Type Specific RNA-Seq Data,coexpression analysis of human genes across many microarray data sets,,gene expression signatures in polyarticular juvenile idiopathic arthritis demonstrate disease heterogeneity and offer a molecular classification of disease subsets
9,Learning gene functional classifications from multiple data types,"Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability",corrigendum to cortical functional connectivity decodes subconscious task irrelevant threat related emotion processing neuroimage 61 4 2012 1355 1363,,gene expression signatures in chronic and aggressive periodontitis a pilot study
10,Analysis of strain and regional variation in gene expression in mouse brain,Curation of over 10 000 transcriptomic studies to enable data reuse,nar molecular biology database collection entry number 1476,,the canadian open neuroscience platform an open science framework for the neuroscience community
11,Activation of MAPK pathways links LMNA mutations to cardiomyopathy in Emery-Dreifuss muscular dystrophy,Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,crosslaboratory comparison of human postmortem brain expression profiling data,,can we predict protein from mrna levels
12,Experimental comparison and cross-validation of the Affymetrix and Illumina gene expression analysis platforms,A low affinity cis-regulatory bmp response element restricts target gene activation to subsets of drosophila neurons.,data from assessing identity redundancy and confounds in gene ontology annotations over time,,mirna and mirna target genes in copy number variations occurring in individuals with intellectual disability
13,Inducible enhancement of memory storage and synaptic plasticity in transgenic mice expressing an inhibitor of ATF4 (CREB-2) and C/EBP proteins,Untangling the effects of cellular composition on coexpression analysis,large scale network and machine learning analyses reveal functional connectivity between temporal pole and hippocampus is reduced in social anxiety disorder and increases,,sex genes for genomic analysis in human brain internal controls for comparison of probe level data extraction
14,miR-1202 is a primate-specific and brain-enriched microRNA involved in major depression and antidepressant treatment,Single-nucleus transcriptomics of the prefrontal cortex in major depressive disorder implicates oligodendrocyte precursor cells and excitatory neurons,database editorial board 2010,,sharing and reusing gene expression profiling data in neuroscience
15,Using the gene ontology for microarray data mining: a comparison of methods and application to age effects in human prefrontal cortex,The Canadian Rare Diseases Models and Mechanisms (RDMM) Network: Connecting Understudied Genes to Model Organisms,supplemental data zac1 regulates an imprinted gene network critically involved in the control of embryonic growth,,exploring gene expression data with class scores
16,Transcriptional and behavioral interaction between 22q11. 2 orthologs modulates schizophrenia-related phenotypes in mice,Systematic phenomics analysis of autism-associated genes reveals parallel networks underlying reversible impairments in habituation,isdn2014_0418 dna methylation changes in fetal alcohol spectrum disorder,,prenatal alcohol exposure alters steady state and activated gene expression in the adult rat brain
17,Hierarchical model of gene regulation by transforming growth factor β,VariCarta: A Comprehensive Database of Harmonized Genomic Variants Found in Autism Spectrum Disorder Sequencing Studies,gene ontology matrices with descriptions ids etc from guilt by association is the exception rather than the rule in gene networks gillis j and pavlidis p 2012 plos,,using text mining to link journal articles to neuroanatomical databases
18,Single-nucleus transcriptomics of the prefrontal cortex in major depressive disorder implicates oligodendrocyte precursor cells and excitatory neurons,Mega-analysis of gene expression in mouse models of Alzheimer’S disease,whose sample is it anyway widespread misannotation of samples in transcriptomics studies,,gene expression profiling of depression and suicide in human prefrontal cortex
19,“Guilt by association” is the exception rather than the rule in gene networks,Transcriptomic correlates of electrophysiological and morphological diversity within and across excitatory and inhibitory neuron classes,changes in neuronal densities underlying transcriptional alterations in psychiatric patients,,activation of mapk in hearts of emd null mice similarities between mouse models of x linked and autosomal dominant emery dreifuss muscular dystrophy
20,Molecular aging in human prefrontal cortex is selective and continuous throughout adult life,Whole genome sequencing and variant discovery in the ASPIRE autism spectrum disorder cohort,differential gene expression in schizophrenia and bipolar disorder in the corpus callosum,,analysis of strain and regional variation in gene expression in mouse brain
21,Classification and subtype prediction of adult soft tissue sarcoma by functional genomics,Predictability of human differential gene expression,transcriptomic responses to high water temperature in two species of p acific salmon,,decoding unattended fearful faces with whole brain correlations an approach to identify condition dependent large scale functional connectivity
22,Gene ontology term overlap as a measure of gene functional similarity,Differential coexpression in human tissues and the confounding effect of mean expression levels,large scale analysis of brain wide electrophysiological diversity reveals novel characterization of mammalian neuron types,,experiment level curation of transcriptional regulatory interactions in neurodevelopment
23,Genomic signatures predict migration and spawning failure in wild Canadian salmon,Transcriptomic Evidence for Alterations in Astrocytes and Parvalbumin Interneurons in Subjects With Bipolar Disorder and Schizophrenia,supplementary information for,,modeling sources of interlaboratory variability in electrophysiological properties of mammalian neurons
24,"The Drosophila easily shocked gene: a mutation in a phospholipid synthetic pathway causes seizure, neuronal failure, and paralysis",C-terminal truncation of IFN-γ inhibits proinflammatory macrophage responses and is deficient in autoimmune disease,gist support vector machine and kernel principal components analysis software toolkit,,guilt by association is the exception rather than the rule in gene networks
25,Pair recordings reveal all-silent synaptic connections and the postsynaptic expression of long-term potentiation,Assessing Transcriptome Quality in Patch-Seq Datasets,programming of neural gene expression response to adjuvant induced arthritis by prenatal diet in a rat model of prenatal alcohol exposure,,large scale analysis of gene expression and connectivity in the rodent brain insights through data integration
26,The Impact of Multifunctional Genes on,Systematic evaluation of isoform function in literature reports of alternative splicing,systematic phenomics analysis of asd associated genes reveals shared functions and parallel networks underlying reversible impairments in habituation learning,,the canadian rare diseases models and mechanisms rdmm network connecting understudied genes to model organisms
27,Classification of clear-cell sarcoma as a subtype of melanoma by genomic profiling,Monitoring changes in the Gene Ontology and their impact on genomic data analysis,gene expression in lens epithelial cell lines conditioned to survive h2o2 or tbhp,,mega analysis of gene expression in mouse models of alzheimer s disease
28,Subtype‐specific peripheral blood gene expression profiles in recent‐onset juvenile idiopathic arthritis,Modeling sources of interlaboratory variability in electrophysiological properties of mammalian neurons,application and evaluation of automated methods to extract brain connectivity statements from free text,,estimating and correcting for off target cellular contamination in brain cell type specific rna seq data
29,The effect of replication on gene expression microarray experiments,DNA methylation as a predictor of fetal alcohol spectrum disorder,the impact of multifunctional genes on,,dna methylation signature of human fetal alcohol spectrum disorder
30,Can we predict protein from mRNA levels?,Unpacking the Heterogeneity of Cognitive Functioning in Children and Adolescents with Fetal Alcohol Spectrum Disorder: Determining the Role of Moderators and Strengths,identification of three distinct blood mononuclear cell gene expression signatures reveals heterogeneity of recent onset polyarticular juvenile idiopathic arthritis,,single nucleus transcriptomics of the prefrontal cortex in major depressive disorder implicates oligodendrocyte precursor cells and excitatory neurons
31,Transcriptomes in healthy and diseased gingival tissues,Cross-laboratory analysis of brain cell type transcriptomes with applications to interpretation of bulk tissue data,availability this version is available at http porto polito it 2649752 since september 2016,,differential coexpression in human tissues and the confounding effect of mean expression levels
32,Using ANOVA for gene selection from microarray studies of the nervous system,Transcriptomic correlates of neuron electrophysiological diversity,follow up progress and challenges in the,,varicarta a comprehensive database of harmonized genomic variants found in autism spectrum disorder sequencing studies
33,Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice,A p53-regulated apoptotic gene signature predicts treatment response and outcome in pediatric acute lymphoblastic leukemia,gp 5 10 mapk signaling pathway is commonly activated in hearts of mouse models of autosomal dominant and x linked emery dreifuss muscular dystrophy,,microarray analysis of gene expression following the formalin test in the infant rat
34,Histone deacetylase inhibition elicits an evolutionarily conserved self-renewal program in embryonic stem cells,Can we predict protein from mRNA levels?,interpreting cell type specific changes in bulk tissue transcriptomics data,,a mendelian locus on chromosome 16 determines susceptibility to doxorubicin nephropathy in the mouse
35,Diverse epigenetic strategies interact to control epidermal differentiation,Protease-inhibitor interaction predictions: Lessons on the complexity of protein-Protein interactions,a primate specific and brain enriched mirna is involved in depression and regulates the expression of grm4,,classification of clear cell sarcoma as a subtype of melanoma by genomic profiling
36,Support vector machine classification on the web,Using predictive specificity to determine when gene set analysis is biologically meaningful,cross validation calculation from guilt by association is the exception rather than the rule in gene networks gillis j and pavlidis p 2012 plos computational biology 8 3,,presynaptic protein kinase activity supports long term potentiation at synapses between individual hippocampal neurons
37,Exploring gene expression data with class scores,EGAD: Ultra-fast functional analysis of gene networks,use case the postsynaptic proteome from assessing identity redundancy and confounds in gene ontology annotations over time,,progress and challenges in the computational prediction of gene function using networks
38,Network analyses reveal pervasive functional regulation between proteases in the human protease web,An expanded evaluation of protein function prediction methods shows an improvement in accuracy,p091 neurocarta online platform for integration and sharing of phenotypic and genomics information,,cluster analysis of genes with significant change in expression in cells conditioned to survive tbooh
39,Akt1 deficiency affects neuronal morphology and predisposes to abnormalities in prefrontal cortex functioning,"Interactive Exploration, Analysis, and Visualization of Complex Phenome–Genome Datasets with ASPIREdb",gene expression in juvenile arthritis and spondyloarthropathy pro angiogenic elr chemokine genes relate to course of arthritis,,meta analysis of gene expression in autism spectrum disorder
40,Cross-laboratory analysis of brain cell type transcriptomes with applications to interpretation of bulk tissue data,DNA methylation signature of human fetal alcohol spectrum disorder,supplemental data histone deacetylase inhibition elicits an evolutionarily conserved self renewal program in embryonic stem cells,,characterizing the state of the art in the computational assignment of gene function lessons from the first critical assessment of functional annotation cafa
41,DNA methylation signature of human fetal alcohol spectrum disorder,Meta-Analysis of Gene Expression Patterns in Animal Models of Prenatal Alcohol Exposure Suggests Role for Protein Synthesis Inhibition and Chromatin Remodeling,physiological behavioral and molecular analysis of bang sensitive paralytic mutants of drosophila melanogaster,,meta analysis of kindling induced gene expression changes in the rat hippocampus
42,Activation of MAPK in hearts of EMD null mice: similarities between mouse models of X-linked and autosomal dominant Emery–Dreifuss muscular dystrophy,Profiling placental and fetal DNA methylation in human neural tube defects,neurocarta aggregating and sharing disease gene relations for the interpretation of genomics studies,,subgingival bacterial colonization profiles correlate with gingival tissue gene expression
43,Seizures and failures in the giant fiber pathway of Drosophila bang-sensitive paralytic mutants,Linking wikidata to the rest of the semantic web,paul pavlidis and william stafford noble columbia genome center and department of computer science columbia university corresponding author,,gene ontology term overlap as a measure of gene functional similarity
44,Relationships between gene expression and brain wiring in the adult rodent brain,Whose sample is it anyway? Widespread misannotation of samples in transcriptomics studies [version 1; referees: 2 approved],sharing expression profiling data with gemma,,pair recordings reveal all silent synaptic connections and the postsynaptic expression of long term potentiation
45,Relationships between gene expression and brain wiring in the adult rodent brain,Wikidata as a semantic framework for the gene Wiki initiative,cognitive domains function complementation by ntng gene paralogs,,an expanded evaluation of protein function prediction methods shows an improvement in accuracy
46,"Gemma: a resource for the reuse, sharing and meta-analysis of expression profiling data",Secondary neurotransmitter deficiencies in epilepsy caused by voltage-gated sodium channelopathies: A potential treatment target?,figure data from the role of indirect connections in gene networks in predicting function gillis j and pavlidis p 2011 bioinformatics 27 13 pp 1860 1866,,systematic evaluation of isoform function in literature reports of alternative splicing
47,A Mendelian locus on chromosome 16 determines susceptibility to doxorubicin nephropathy in the mouse,Transcriptome sequencing of the anterior cingulate in bipolar disorder: Dysregulation of G protein-coupled receptors,network data from the role of indirect connections in gene networks in predicting function gillis j and pavlidis p 2011 bioinformatics 27 13 pp 1860 1866,,relationships between gene expression and brain wiring in the adult rodent brain
48,Gene expression profiling of depression and suicide in human prefrontal cortex,Meta-analysis of gene expression in Autism spectrum disorder,data and design files for 6 public datasets used in genome wide expression profiling of schizophrenia using a large combined cohort mistry m and gillis j and pavlidis p,,molecular aging in human prefrontal cortex is selective and continuous throughout adult life
49,Transcriptomic responses to high water temperature in two species of P acific salmon,Metaanalysis of flawed expression profiling data leading to erroneous Parkinson's biomarker identification,promoter re ion ased classification of enes,,matrix2png a utility for visualizing matrix data
50,Gene function analysis in complex data sets using ErmineJ,The path of no return—Truncated protein N-termini and current ignorance of their genesis,assessing the utility of pharmacogenetic testing in a cohort with treatment resistant schizophrenia or schizoaffective disorder,,fto obesity and the adolescent brain
51,Cutting edge: STAT6 serves as a positive and negative regulator of gene expression in IL-4-stimulated B lymphocytes,Text mining for neuroanatomy using whitetext with an updated corpus and a new web application,gist support vector machine 1 0,,the effect of replication on gene expression microarray experiments
52,Transcriptional changes in Huntington disease identified using genome-wide expression profiling and cross-platform analysis,Expansion of the QARS deficiency phenotype with report of a family with isolated supratentorial brain abnormalities,classification of clear cell sarcoma as melanoma of soft parts by genomic profiling,,text mining for neuroanatomy using whitetext with an updated corpus and a new web application
53,Proteome TopFIND 3.0 with TopFINDer and PathFINDer: database and analysis tools for the association of protein termini to pre-and post-translational events,Prenatal Alcohol Exposure Alters Steady-State and Activated Gene Expression in the Adult Rat Brain,molecular differences between chronic and aggressive periodontitis,,altered brain microrna biogenesis contributes to phenotypic deficits in a 22q11 deletion mouse model
54,Consequences of high temperatures and premature mortality on the transcriptome and blood physiology of wild adult sockeye salmon (Oncorhynchus nerka),Proteome TopFIND 3.0 with TopFINDer and PathFINDer: Database and analysis tools for the association of protein termini to pre- and post-translational events,combining microarray expression data and phylogenetic profiles to learn gene functional categories using support vector machines,,comparison of techniques for correlating survival and gene expression data from wild salmon
55,Gingival tissue transcriptomes identify distinct periodontitis phenotypes,"FTO, obesity, and the adolescent brain",general obstetrics and gynecology fetus placenta newborn a high throughput study of gene expression in preterm labor with a subtractive microarray approach the subtractive dna,,zac1 regulates an imprinted gene network critically involved in the control of embryonic growth
56,Genome-wide expression profiling of schizophrenia using a large combined cohort,Pitfalls in the application of gene-set analysis to genetics studies,variant selection gene exploration,,unpacking the heterogeneity of cognitive functioning in children and adolescents with fetal alcohol spectrum disorder determining the role of moderators and strengths
57,Predictability of human differential gene expression,Copy number variants (CNVs) analysis in a deeply phenotyped cohort of individuals with intellectual disability (ID),cataloging the potential functional diversity of cacna1e splice variants using long read sequencing,,transcriptional changes in huntington disease identified using genome wide expression profiling and cross platform analysis
58,Gene expression in juvenile arthritis and spondyloarthropathy: pro-angiogenic ELR+ chemokine genes relate to course of arthritis,Bias tradeoffs in the creation and analysis of protein-protein interaction networks,methodology for analyzing temporal patterns of differential coexpression using meta analysis,,metaanalysis of flawed expression profiling data leading to erroneous parkinson s biomarker identification
59,Meta-analysis of human methylomes reveals stably methylated sequences surrounding CpG islands associated with high gene expression,Transcriptomic responses to high water temperature in two species of Pacific salmon,neurocarta online plaiorm for integration and sharing of phenotypic and genomics information,,subtype specific peripheral blood gene expression profiles in recent onset juvenile idiopathic arthritis
60,PROMOTER RE ION-ASED CLASSIFICATION OF ENES,Meta-analysis of human methylomes reveals stably methylated sequences surrounding CpG islands associated with high gene expression,can machine learning aid in identifying disease genes the case of autism spectrum disorder,,classification and subtype prediction of adult soft tissue sarcoma by functional genomics
61,Transcriptomic evidence for alterations in astrocytes and parvalbumin interneurons in subjects with bipolar disorder and schizophrenia,MiR-1202 is a primate-specific and brain-enriched microRNA involved in major depression and antidepressant treatment,gene coexpression analysis in the frontal cortex of bipolar patients and controls,,gemma a resource for the reuse sharing and meta analysis of expression profiling data
62,Molecular differences between chronic and aggressive periodontitis,Network Analyses Reveal Pervasive Functional Regulation Between Proteases in the Human Protease Web,classification of genes using probabilistic models of microarray expression profiles,,genome wide expression profiling of schizophrenia using a large combined cohort
63,Subgingival bacterial colonization profiles correlate with gingival tissue gene expression,De novo mutations in schizophrenia implicate chromatin remodeling and support a genetic overlap with autism and intellectual disability,single cell genomic strategies to understand psychopathological processes in suicide and associated psychopathology,,assessing identity redundancy and confounds in gene ontology annotations over time
64,β-Catenin/TCF/Lef controls a differentiation-associated transcriptional program in renal epithelial progenitors,Gingival tissue transcriptomes identify distinct periodontitis phenotypes,gene lists from the role of indirect connections in gene networks in predicting function gillis j and pavlidis p 2011 bioinformatics 27 13 pp 1860 1866,,histone deacetylase inhibition elicits an evolutionarily conserved self renewal program in embryonic stem cells
65,The role of indirect connections in gene networks in predicting function,Progress and challenges in the computational prediction of gene function using networks: 2012-2013 update,cross scale mapping of gene expression to neuroimaging datasets via semantic decomposition,,monitoring changes in the gene ontology and their impact on genomic data analysis
66,DNA methylation as a predictor of fetal alcohol spectrum disorder,Meta-analysis of gene coexpression networks in the post-mortem prefrontal cortex of patients with schizophrenia and unaffected controls,gist,,modelmatcher a scientist centric online platform to facilitate collaborations between stakeholders of rare and undiagnosed disease research
67,Synaptic transmission in pair recordings from CA3 pyramidal cells in organotypic culture,MiRNA and miRNA target genes in copy number variations occurring in individuals with intellectual disability,varicarta a comprehensive database of harmonized genomic variants found in asd sequencing studies,,characterizing the targets of transcription regulators by aggregating chip seq and perturbation expression data sets
68,Wikidata as a semantic framework for the Gene Wiki initiative,Neuron-enriched gene expression patterns are regionally anti-correlated with oligodendrocyte-enriched patterns in the adult mouse and human brain,live demos in incf booth 4112 atsfn in san diego,,gene function analysis in complex data sets using erminej
69,Bioinformatic analysis of autism positional candidate genes using biological databases and computational gene network prediction,"Corrigendum to Cortical functional connectivity decodes subconscious, task-irrelevant threat related emotion processing [Neuroimage 61/4 (2012) 1355–1363] (S1053811912003321) (10.1016/j.neuroimage.2012.03.051))",toll like receptor 4 tlr4 dependent gene expression in a murine model of bacterially induced preterm labor,,inducible enhancement of memory storage and synaptic plasticity in transgenic mice expressing an inhibitor of atf4 creb 2 and c ebp proteins
70,Gene expression signatures in polyarticular juvenile idiopathic arthritis demonstrate disease heterogeneity and offer a molecular classification of disease subsets,Characterizing the state of the art in the computational assignment of gene function: Lessons from the first critical assessment of functional annotation (CAFA),whose sample is it anyway widespread misannotation of samples in transcriptomics studies version 1 referees awaiting,,de novo mutations in schizophrenia implicate chromatin remodeling and support a genetic overlap with autism and intellectual disability
71,Sex genes for genomic analysis in human brain: internal controls for comparison of probe level data extraction.,Neurocarta: Aggregating and sharing disease-gene relations for the neurosciences,gene lists from gillis j and pavlidis p 2012 plos computational biology 8 3,,seizures and failures in the giant fiber pathway of drosophila bang sensitive paralytic mutants
72,Bias tradeoffs in the creation and analysis of protein–protein interaction networks,"Assessing identity, redundancy and confounds in Gene Ontology annotations over time",a6 08 transcriptome profiling by next generation sequencing of hematopoietic progenitors in murine systemic lupus erythematosus sle,,assessing transcriptome quality in patch seq datasets
73,An ancestral haplotype defines susceptibility to doxorubicin nephropathy in the laboratory mouse,Genome-wide expression profiling of schizophrenia using a large combined cohort,gene ontology matrices from the role of indirect connections in gene networks in predicting function gillis j and pavlidis p 2011 bioinformatics 27 13 pp 1860 1866,,basal and apical synapses of ca1 pyramidal cells employ different ltp induction mechanisms
74,"Assessing identity, redundancy and confounds in Gene Ontology annotations over time","FTO, obesity and the adolescent brain",effect of electroconvulsive shock and magnetic seizure on gene expression profiles in the prefrontal cortex of the rhesus monkey,,a cross laboratory comparison of expression profiling data from normal human postmortem brain
75,EGAD: ultra-fast functional analysis of gene networks,Application and evaluation of automated methods to extract neuroanatomical connectivity statements from free text,samples in transcriptomics studies version 1 referees 2,,the neurodevnet neuroinformatics core
76,Understanding the impact of 1q21. 1 copy number variant,KCTD8 gene and brain growth in adverse intrauterine environment: A genome-wide association study,application of large scale text mining and curation for extracting neuronal electrophysiology data,,bias tradeoffs in the creation and analysis of protein protein interaction networks
77,Meta-analysis of gene coexpression networks in the post-mortem prefrontal cortex of patients with schizophrenia and unaffected controls,Progress and challenges in the computational prediction of gene function using networks,whose sample is it anyway widespread misannotation of samples in transcriptomics studies version 2 peer review,,proteome topfind 3 0 with topfinder and pathfinder database and analysis tools for the association of protein termini to pre and post translational events
78,Periodontal therapy alters gene expression of peripheral blood monocytes,"Gemma: A resource for the reuse, sharing and meta-analysis of expression profiling data",decoding unattended fearful faces with whole brain correlations an approach to identify condition,,egad ultra fast functional analysis of gene networks
79,C-terminal truncation of IFN-γ inhibits proinflammatory macrophage responses and is deficient in autoimmune disease,"Cortical functional connectivity decodes subconscious, task-irrelevant threat-related emotion processing",supplementary santiago potashkin 2015 reanalysis,,wikidata as a semantic framework for the gene wiki initiative
80,"FTO, obesity and the adolescent brain",Consequences of high temperatures and premature mortality on the transcriptome and blood physiology of wild adult sockeye salmon (Oncorhynchus nerka),cellular and molecular properties of neurons modeling sources of interlaboratory variability in electrophysiological properties of mammalian neurons,,integration of neuroimaging and microarray datasets through mapping and model theoretic semantic decomposition of unstructured phenotypes
