,Faculty of Medicine,Faculty of Applied Science,Faculty of Science,Faculty of Arts,Not UBC
Timothy H. Murphy,Timothy H. Murphy,,,,
Annie Vogel-Ciernia,,,Annie Vogel-Ciernia,,
Brian Archibald MacVicar,Brian Archibald MacVicar,,,,
Fidel Vila-Rodriguez,Fidel Vila-Rodriguez,,,,
Shernaz X. Bamji,Shernaz X. Bamji,,,,
Lara A. Boyd,Lara A. Boyd,,,,
Paul Pavlidis,Paul Pavlidis,,,,
Martin J. McKeown,Martin J. McKeown,,,,
A. Jon Stoessl,A. Jon Stoessl,,,,
P. A. Cripton,,P. A. Cripton,,,
Jason S. Snyder,,,,Jason S. Snyder,
Wolfram G. Tetzlaff,,,Wolfram G. Tetzlaff,,
Anthony G. Phillips,Anthony G. Phillips,,,,
Catharine A. Winstanley,,,,Catharine A. Winstanley,
Yutian Wang,Yutian Wang,,,,
Jeremy Keith Seamans,Jeremy Keith Seamans,,,,
Terrance P. Snutch,,,Terrance P. Snutch,,
Ian R. Mackenzie,Ian R. Mackenzie,,,,
Lynn A. Raymond,Lynn A. Raymond,,,,
Kurt Z. Haas,Kurt Z. Haas,,,,
Mark S. Cembrowski,Mark S. Cembrowski,,,,
Fabio M.V. Rossi,,Fabio M.V. Rossi,,,
Angela Jane I. Roskams,,,Angela Jane I. Roskams,,
Catharine H. Rankin,,,,Catharine H. Rankin,
Michael J. Gordon,,,Michael J. Gordon,,
Leonid Sigal,,,Leonid Sigal,,
Z. Jane Wang,,Z. Jane Wang,,,
Peyman Servati,,Peyman Servati,,,
Liisa A.M. Galea,,,,Liisa A.M. Galea,
Sophia Frangou,Sophia Frangou,,,,
Silke Appel-Cresswell,Silke Appel-Cresswell,,,,
Helge Rhodin,,,Helge Rhodin,,
Manu S. Madhav,,Manu S. Madhav,,,
Brian D. Fisher,,,,,Brian D. Fisher
Leigh Anne Swayne,,,,,Leigh Anne Swayne
Craig E. Brown,,,,,Craig E. Brown
Adrienne L. Fairhall,,,,,Adrienne L. Fairhall
Eric T. Shea-Brown,,,,,Eric T. Shea-Brown
Emily Lauren Sylwestrak,,,,,Emily Lauren Sylwestrak
Andy Y. Shih,,,,,Andy Y. Shih
Todd Stephen Woodward,Todd Stephen Woodward,,,,