Last Name, First Name,	Author ID
Wang, Z. Jane,11241026700
Vila-Rodriguez, Fidel,24279161600
Frangou, Sophia,7004549374
Mackenzie, Ian,16407421900
McKeown, Martin,7005375626
Boyd, Lara A.,7101895712
Galea, Liisa A. M.,7004079043
Sigal, Leonid,7103067039
Cripton, P. A.,6603629883
Rossi, Fabio,7401756510
Rhodin, Helge,55860139200
Snutch, Terrance P.,35408131500
Wang, YuTian,8908521300
Stoessl, A. Jon,7004896118
Woodward, Todd Stephen,7102848867
Shih, Andy Y.,9239638800
Tetzlaff, Wolfram G.,7006262846
Pavlidis, Paul,7004159655
Murphy, Timothy H.,7401632487
Rankin, Catharine,7007032941
Servati, Peyman,6701751588
MacVicar, Brian A.,7006717711
Raymond, Lynn A.,7102737545
Shea-Brown, Eric T.,15065850600
Appel-Cresswell, Silke,36237882900
Phillips, Anthony G.,7401658611
Snyder, Jason S.,28167863900
Fairhall, Adrienne L.,6602928622
Fisher, Brian,56363838400
Swayne, Leigh Anne,7004454250
Cembrowski, Mark S.,37036981000
Ciernia, Annie Vogel,55491054000
Haas, Kurt,55554765000
Brown, Craig E.,7408311558
Gordon, Michael D.,7402800449
Bamji, Shernaz X.,7005627810
Seamans, Jeremy Keith,7003907622
Madhav, Manu S.,35146488900
Sylwestrak, Emily Lauren,26634611400
Winstanley, Catharine A.,7005018303
Roskams, Angela Jane I.,55889287500